-18380.4,-93502.5,36.8715
-18380.3,-93502.5,36.8686
-18381.8,-93506.3,36.804
-18382.2,-93510.3,36.7951
-18380.9,-93514.2,36.751
-18378.5,-93517.4,36.7462
-18375.6,-93520.2,36.7852
-18372.5,-93523,36.7713
-18369.6,-93525.7,36.8254
-18366.7,-93528.6,36.8502
-18364.3,-93531.9,36.8237
-18363.6,-93536,36.7942
-18364.6,-93539.9,36.764
-18366.3,-93543.7,36.7176
-18368.1,-93547.3,36.682
-18370,-93550.9,36.686
-18371.8,-93554.6,36.7312
-18374.3,-93557.8,36.7622
-18378,-93559.4,36.8745
-18382.6,-93559.5,37.0401
-18386.4,-93558.2,37.0437
-18390.1,-93556.4,37.0516
-18393.6,-93554.3,36.9958
-18397.3,-93552.4,37.0077
-18400.8,-93550.6,37.0342
-18404.5,-93548.8,37.0348
-18408.1,-93547.1,37.0145
-18411.6,-93545,37.044
-18414.1,-93541.8,37.0107
-18414.9,-93537.7,36.8747
-18413.2,-93533.3,36.8744
-18411.1,-93529.7,36.8403
-18409.1,-93526.3,36.8447
-18407.1,-93522.7,36.8241
-18405.3,-93519,36.7976
-18403.6,-93515.2,36.838
-18401.9,-93511.4,36.8031
-18400.2,-93507.8,36.7295
-18398.5,-93504.1,36.6838
-18396.8,-93500.3,36.7968
